대표운영사,운영사구분,자조합 규모(백만원) 
NBH캐피탈,신기술사,20000
메디치인베스트먼트,벤처투자회사,35000
에스브이인베스트먼트,벤처투자회사,68100
씨제이인베스트먼트,벤처투자회사,20100
한국벤처투자,벤처투자회사,291876
디티앤인베스트먼트,벤처투자회사,11315
비비드인베스트먼트,LLC,45000
스마일게이트인베스트먼트,벤처투자회사,21300
씨케이디창업투자,벤처투자회사,15000
프리미어파트너스,LLC,75000
아이비케이캐피탈,신기술사,20000
마그나인베스트먼트,벤처투자회사,10000
비케이인베스트먼트,벤처투자회사,50000
현대기술투자,벤처투자회사,50000
케이비인베스트먼트,벤처투자회사,40000
에스비브이에이,벤처투자회사,197300
우리벤처파트너스,벤처투자회사,166000
지앤텍벤처투자,벤처투자회사,31000
카카오벤처스,벤처투자회사,20000
에스비브이에이,벤처투자회사,121000
신한벤처투자,벤처투자회사,76000
파트너스인베스트먼트,벤처투자회사,50000
에이지인베스트먼트,벤처투자회사,14250
이노폴리스파트너스,LLC,50100
에스비아이인베스트먼트,벤처투자회사,81000
케이앤투자파트너스,벤처투자회사,3000
플래티넘기술투자,벤처투자회사,29000
쿨리지코너인베스트먼트,벤처투자회사,10000
로이투자파트너스,벤처투자회사,10000
에버그린투자파트너스,LLC,20000
패스파인더에이치,벤처투자회사,15000
더웰스인베스트먼트,벤처투자회사,10000
비에이파트너스,LLC,14000
심본투자파트너스,LLC,17500
미래에셋벤처투자,벤처투자회사,25000
포스코기술투자,신기술사,25200
트랜스링크인베스트먼트,벤처투자회사,18700
제이엑스파트너스,벤처투자회사,12500
코메스인베스트먼트,벤처투자회사,14500
인터밸류파트너스,벤처투자회사,12500
케이런벤처스,LLC,15000
디티앤인베스트먼트,벤처투자회사,15000
신한벤처투자,벤처투자회사,34000
린드먼아시아인베스트먼트,벤처투자회사,40000
유티씨인베스트먼트,벤처투자회사,15000
비에스케이인베스트먼트,벤처투자회사,15000
지온인베스트먼트,벤처투자회사,12000
아이디벤처스,벤처투자회사,42200
유니온투자파트너스,벤처투자회사,15600
이에스인베스터,벤처투자회사,12000
이수창업투자,벤처투자회사,24000
캐피탈원,벤처투자회사,24000
보광인베스트먼트,벤처투자회사,12000
송현인베스트먼트,벤처투자회사,30000
시너지아이비투자,신기술사,3000
에스브이인베스트먼트,벤처투자회사,53000
케이앤투자파트너스,벤처투자회사,20000
에스엘인베스트먼트,벤처투자회사,96000
서울투자파트너스,벤처투자회사,50000
전남대학교기술지주회사,기타운용사,3850
고려대학교기술지주,기타운용사,3000
부산지역대학연합기술지주,기타운용사,3000
서울대학교기술지주,기타운용사,6000
연세대학교기술지주,기타운용사,3000
스마일게이트인베스트먼트,벤처투자회사,42000
지유투자,LLC,27300
